meeting_id,department,word_count,positive_count,negative_count,sentiment_score
M_0110,Sales,2914,172,99,6.39
M_0111,Engineering,2675,103,47,5.03
M_0112,R&D,1582,83,30,5.33
M_0113,Customer Support,2685,108,80,4.68
M_0114,Operations,3815,151,117,4.67
M_0115,Product Management,2903,166,90,6.57
M_0116,Customer Support,3365,187,102,5.05
M_0117,Engineering,2286,117,49,5.37
M_0118,Legal,3174,101,69,4.87
M_0119,Finance,2751,114,48,7.62
M_0120,Customer Support,1644,47,24,3.9
M_0121,Legal,2786,105,85,3.96
M_0122,Sales,1607,63,20,4.79
M_0123,Engineering,1930,102,73,4.96
M_0124,Sales,2670,149,92,6.22
M_0125,HR,2767,101,98,4.64
M_0126,Customer Support,1429,29,53,4.05
M_0127,Product Management,3448,187,76,5.44
M_0128,Engineering,3014,81,106,4.52
M_0129,Marketing,1865,83,27,5.83
M_0130,HR,1116,23,11,6.0
M_0131,Sales,2369,85,79,6.4
M_0132,Engineering,2098,124,25,6.18
M_0133,Sales,2601,62,103,6.57
M_0134,R&D,2173,80,65,5.3
M_0135,Sales,693,22,22,5.6
M_0136,Marketing,2150,120,37,5.01
M_0137,Operations,2224,121,67,4.93
M_0138,HR,3070,90,34,4.76
M_0139,IT,1871,43,65,5.47
M_0140,IT,4010,180,60,5.58
M_0141,Sales,779,26,24,6.42
M_0142,Marketing,3680,172,61,4.59
M_0143,Sales,2298,48,27,7.17
M_0144,Sales,3273,82,80,5.36
M_0145,Engineering,2571,122,38,4.45
M_0146,Finance,3525,100,112,4.61
M_0147,Marketing,2151,116,36,7.73
M_0148,Engineering,1511,33,30,4.71
M_0149,Sales,3778,108,102,5.47
M_0150,Legal,2397,143,44,4.73
M_0151,Sales,2699,100,57,5.8
M_0152,Engineering,3611,173,124,4.51
M_0153,Marketing,1571,42,24,5.49
M_0154,Data Science,3035,134,37,6.18
M_0155,Sales,1969,96,39,6.37
M_0156,Operations,2381,77,54,4.21
M_0157,Customer Support,2565,136,67,4.59
M_0158,Sales,1149,50,24,5.5
M_0159,Customer Support,1799,63,60,4.65
M_0160,HR,3715,157,41,6.38
M_0161,Operations,3297,142,75,5.08
M_0162,Operations,2443,65,52,4.98
M_0163,Finance,2718,98,79,6.49
M_0164,Engineering,2235,75,87,5.65
M_0165,Product Management,3720,134,94,5.57
M_0166,Sales,2319,116,91,7.68
M_0167,Engineering,2708,106,51,5.59
M_0168,Engineering,3531,203,38,3.88
M_0169,Finance,1800,57,26,5.84
M_0170,Operations,3902,142,85,3.87
M_0171,Engineering,1122,57,21,5.68
M_0172,Marketing,3966,165,51,4.11
M_0173,Sales,2164,90,49,5.54
M_0174,Operations,2281,50,45,4.73
M_0175,Engineering,798,28,10,4.61
M_0176,Operations,2090,64,39,4.84
M_0177,HR,1564,93,57,6.06
M_0178,R&D,1953,63,37,4.56
M_0179,Engineering,2376,131,74,5.68
M_0180,Sales,3362,158,95,5.08
M_0181,Engineering,2686,90,61,4.96
M_0182,R&D,2776,115,47,5.5
M_0183,Product Management,1514,81,31,4.53
M_0184,Sales,1707,94,47,4.86
M_0185,Operations,4118,108,84,5.45
M_0186,Customer Support,1838,61,30,5.58
M_0187,Finance,3990,133,53,5.14
M_0188,Marketing,2281,49,83,4.71
M_0189,Sales,2502,109,58,6.13
M_0190,Engineering,3463,187,99,5.3
M_0191,Legal,3644,128,90,4.77
M_0192,Legal,2400,119,86,2.8
M_0193,Operations,2150,96,56,4.33
M_0194,Sales,2449,85,59,5.09
M_0195,Sales,2804,71,105,5.75
M_0196,Customer Support,3302,159,104,4.89
M_0197,Legal,2503,135,33,5.32
M_0198,Legal,3056,144,46,4.97
M_0199,Customer Support,3974,82,133,3.52
M_0200,Operations,2843,81,99,6.09
M_0201,Engineering,2780,63,73,5.98
M_0202,Engineering,1132,48,30,4.15
M_0203,Legal,150,7,4,4.92
M_0204,Finance,2849,69,66,4.53
M_0205,Engineering,2414,129,73,5.34
M_0206,Engineering,2036,85,26,6.13
M_0207,Operations,2719,129,105,6.79
M_0208,Engineering,2445,143,79,5.86
M_0209,Engineering,3515,82,101,5.18
M_0210,Finance,2577,144,50,5.09
M_0211,Operations,1827,45,27,5.24
M_0212,Operations,3391,121,75,6.22
M_0213,Sales,2304,124,68,5.99
M_0214,Customer Support,2973,167,86,4.2
M_0215,Sales,2070,83,44,4.48
M_0216,Sales,1915,83,54,6.4
M_0217,Customer Support,2575,124,88,4.91
M_0218,Operations,2511,133,27,4.91
M_0219,Product Management,2931,72,68,5.83
M_0220,Operations,2258,118,73,4.86
M_0221,Finance,847,33,22,5.02
M_0222,Engineering,2110,80,62,5.07
M_0223,HR,3214,118,81,4.83
M_0224,Sales,2232,90,88,5.98
M_0225,Sales,2278,131,26,7.34
M_0226,IT,3387,142,83,4.26
M_0227,HR,1859,108,23,5.85
M_0228,Legal,1111,30,16,4.74
M_0229,Operations,2355,115,50,5.4
M_0230,Customer Support,2064,108,30,5.59
M_0231,Marketing,1630,76,63,5.38
M_0232,Finance,2342,103,89,5.44
M_0233,Marketing,2942,125,59,6.09
M_0234,Engineering,2491,135,72,4.85
M_0235,Customer Support,2776,146,72,5.07
M_0236,Sales,4132,102,142,5.41
M_0237,Engineering,2191,118,63,5.14
M_0238,Operations,2750,100,27,5.01
M_0239,Engineering,2041,61,67,5.35
M_0240,R&D,1738,95,56,5.29
M_0241,IT,1973,73,49,5.44
M_0242,R&D,2069,108,76,5.14
M_0243,HR,2823,86,105,3.65
M_0244,Engineering,4614,93,118,4.97
M_0245,R&D,1855,73,52,5.16
M_0246,HR,2125,51,84,5.04
M_0247,IT,2443,122,46,4.84
M_0248,IT,2856,88,56,4.16
M_0249,Product Management,2737,103,42,5.72
M_0250,Sales,3655,85,134,5.34
M_0251,HR,316,9,10,5.11
M_0252,Product Management,351,17,4,5.15
M_0253,Sales,2053,53,80,5.59
M_0254,Engineering,3487,160,111,4.78
M_0255,Finance,1090,61,38,4.44
M_0256,R&D,150,7,1,5.78
M_0257,Operations,3014,158,75,4.79
M_0258,Finance,2719,66,84,5.06
M_0259,Engineering,1518,45,39,5.37
M_0260,Operations,1613,89,48,4.78
M_0261,Data Science,1627,79,56,4.18
M_0262,Engineering,2599,118,55,7.18
M_0263,Marketing,1936,90,68,4.93
M_0264,Product Management,2944,107,43,5.72
M_0265,Customer Support,150,3,2,6.09
M_0266,Operations,1728,88,19,6.03
M_0267,Operations,1486,70,31,5.02
M_0268,HR,2269,88,48,5.12
M_0269,Sales,2015,112,68,5.24
M_0270,Customer Support,3218,107,95,5.28
M_0271,Customer Support,826,26,19,5.09
M_0272,Product Management,2540,139,75,4.84
M_0273,R&D,3002,155,34,4.57
M_0274,Marketing,4170,169,64,4.4
M_0275,Marketing,2066,52,59,6.04
M_0276,Customer Support,2792,79,81,4.68
M_0277,Operations,876,40,29,5.3
M_0278,Operations,347,12,7,4.49
M_0279,Customer Support,3260,174,103,3.72
M_0280,Legal,2494,144,76,5.44
M_0281,Sales,3560,185,138,5.94
M_0282,HR,1263,44,20,5.92
M_0283,Engineering,2967,152,78,4.94
M_0284,Finance,4181,142,117,4.87
M_0285,Engineering,2877,76,114,5.44
M_0286,Marketing,2748,58,44,5.92
M_0287,Finance,2507,88,64,5.73
M_0288,Sales,1086,60,22,5.88
M_0289,Finance,3720,109,95,5.53
M_0290,Engineering,1950,55,33,6.0
M_0291,Engineering,2954,173,33,5.39
M_0292,Customer Support,1093,22,29,4.16
M_0293,HR,1438,73,28,6.39
M_0294,Engineering,3791,124,58,4.65
M_0295,Marketing,2187,47,43,5.8
M_0296,Customer Support,3807,215,43,4.97
M_0297,Sales,2429,62,93,3.91
M_0298,Operations,842,35,23,6.05
M_0299,Engineering,3302,102,113,2.76
M_0300,Engineering,1969,44,44,3.41
M_0301,Finance,3128,68,116,5.27
M_0302,Finance,2522,62,61,5.43
M_0303,Operations,1111,25,30,4.44
M_0304,Customer Support,2647,133,65,4.95
M_0305,IT,4476,176,143,3.05
M_0306,Marketing,2943,99,79,5.92
M_0307,Sales,2448,89,44,6.19
M_0308,Customer Support,3467,198,49,4.96
M_0309,Sales,2689,151,75,6.09
M_0310,Marketing,2688,130,66,5.91
M_0311,Engineering,1517,84,19,5.41
M_0312,Engineering,2710,88,59,3.61
M_0313,IT,3431,120,87,6.85
M_0314,Product Management,1747,77,60,6.06
M_0315,Operations,3782,169,46,4.3
M_0316,HR,2417,94,49,4.91
M_0317,Engineering,1701,61,58,4.83
M_0318,Engineering,3397,201,100,6.16
M_0319,Sales,2241,118,41,4.16
M_0320,Finance,3183,119,112,4.62
M_0321,Customer Support,2237,109,55,3.53
M_0322,Operations,2446,75,61,4.83
M_0323,Sales,2944,70,115,5.14
M_0324,IT,2761,94,106,5.02
M_0325,Customer Support,704,25,14,4.3
M_0326,Finance,1490,30,21,4.46
M_0327,Operations,3336,175,65,5.83
M_0328,HR,2381,81,25,5.6
M_0329,Sales,2028,87,21,6.63
M_0330,HR,1277,29,27,4.87
M_0331,Customer Support,1528,41,58,4.08
M_0332,Engineering,680,37,24,5.1
M_0333,Engineering,2408,106,61,5.59
M_0334,Engineering,1961,113,52,3.57
M_0335,Engineering,1630,97,16,5.81
M_0336,Product Management,2438,85,40,5.43
M_0337,Operations,2827,90,30,5.26
M_0338,Marketing,4383,238,143,5.35
M_0339,Engineering,1139,68,16,3.4
M_0340,Marketing,3543,160,127,4.98
M_0341,Marketing,3375,174,98,6.99
M_0342,Engineering,1798,92,30,5.36
M_0343,Marketing,2682,91,39,5.2
M_0344,HR,2088,89,60,5.15
M_0345,Operations,2667,142,98,5.45
M_0346,Operations,3858,183,121,5.69
M_0347,Engineering,3045,63,62,4.82
M_0348,HR,2957,98,81,5.4
M_0349,Operations,2112,54,40,6.41
M_0350,Marketing,1164,34,46,5.99
M_0351,Product Management,2312,129,75,7.11
M_0352,Operations,3585,76,101,4.4
M_0353,Engineering,1125,32,25,6.4
M_0354,Engineering,1550,50,44,4.41
M_0355,Operations,2613,116,52,5.53
M_0356,Engineering,1613,66,17,5.89
M_0357,Finance,1786,51,39,4.66
M_0358,R&D,2118,56,80,4.96
M_0359,Finance,1270,37,36,5.74
M_0360,HR,1623,65,20,4.71
M_0361,Operations,3133,96,114,6.28
M_0362,Marketing,1323,76,23,4.51
M_0363,Finance,1061,40,18,6.76
M_0364,R&D,1932,43,36,5.84
M_0365,HR,3158,155,86,5.15
M_0366,IT,2322,76,61,4.74
M_0367,Legal,2081,96,51,4.33
M_0368,Engineering,2539,79,80,4.89
M_0369,Engineering,928,39,18,5.19
M_0370,Engineering,2945,149,98,6.18
M_0371,Engineering,2845,162,43,6.99
M_0372,Engineering,2131,64,71,5.13
M_0373,Operations,3405,113,101,4.36
M_0374,Engineering,1485,57,45,4.64
M_0375,Sales,3515,200,85,5.96
M_0376,Product Management,2639,147,79,4.43
M_0377,Engineering,2197,51,27,4.17
M_0378,Customer Support,2482,62,88,6.05
M_0379,Sales,2403,95,28,6.35
M_0380,Engineering,3598,87,52,4.43
M_0381,Operations,1530,51,41,5.72
M_0382,Operations,1813,47,58,4.0
M_0383,Product Management,3432,155,42,4.45
M_0384,Customer Support,1964,113,73,4.2
M_0385,Customer Support,3310,198,129,6.01
M_0386,Sales,4029,141,113,5.6
M_0387,Engineering,2138,93,52,3.24
M_0388,Customer Support,3113,168,100,5.69
M_0389,Customer Support,1461,36,29,4.42
M_0390,Data Science,3179,151,78,3.75
M_0391,HR,2679,97,100,4.74
M_0392,HR,2925,82,113,5.31
M_0393,Customer Support,1918,69,72,4.88
M_0394,Sales,1005,23,17,7.47
M_0395,R&D,2952,141,50,4.63
M_0396,Product Management,642,19,12,5.15
M_0397,HR,2214,71,51,4.53
M_0398,Customer Support,3347,83,65,3.51
M_0399,Customer Support,2672,145,56,5.56
M_0400,Engineering,4253,169,121,5.48
M_0401,Legal,3422,146,112,4.79
M_0402,Marketing,1911,81,61,5.72
M_0403,Customer Support,2524,91,86,4.11
M_0404,Sales,2457,68,26,5.02
M_0405,Legal,1076,53,12,4.87
M_0406,HR,1653,41,55,5.84
M_0407,Engineering,1995,48,51,6.27
M_0408,Legal,667,32,18,5.26
M_0409,Engineering,2542,72,29,5.19
M_0410,Sales,2275,73,40,6.17
M_0411,IT,994,38,28,5.11
M_0412,IT,2863,108,102,4.2
M_0413,Finance,3144,151,117,5.13
M_0414,Operations,2704,121,67,4.13
M_0415,Marketing,2208,101,58,5.35
M_0416,Sales,3032,147,106,7.41
M_0417,Sales,3112,98,81,6.57
M_0418,Operations,2776,91,70,4.34
M_0419,Customer Support,1757,65,65,4.55
M_0420,Customer Support,2748,88,92,3.97
M_0421,Customer Support,3575,212,133,4.76
M_0422,Engineering,1963,103,32,6.19
M_0423,Marketing,4388,116,112,5.81
M_0424,Engineering,2026,40,71,6.83
M_0425,Finance,2529,54,33,6.04
M_0426,Marketing,1894,56,64,5.38
M_0427,Legal,2700,66,41,5.07
M_0428,HR,932,38,31,4.91
M_0429,Engineering,2008,109,56,4.36
M_0430,Engineering,1517,75,23,6.39
M_0431,Customer Support,2621,75,63,5.38
M_0432,Operations,3395,122,103,4.86
M_0433,Engineering,3081,124,89,5.33
M_0434,Engineering,365,19,8,6.29
M_0435,Operations,4337,232,160,5.84
M_0436,Engineering,2765,155,70,4.14
M_0437,Customer Support,1801,72,45,4.92
M_0438,Operations,2641,126,31,5.23
M_0439,Engineering,2658,65,100,5.76
M_0440,Engineering,1899,80,29,6.09
M_0441,Data Science,2678,80,69,6.1
M_0442,HR,1953,72,66,4.14
M_0443,HR,2136,96,35,4.66
M_0444,Customer Support,1882,56,48,5.46
M_0445,R&D,1210,26,20,4.58
M_0446,Data Science,2631,53,86,3.66
M_0447,Customer Support,3026,63,81,4.94
M_0448,HR,2963,60,105,4.41
M_0449,Engineering,3237,79,119,6.31
M_0450,Customer Support,2791,82,82,4.82
M_0451,Finance,2020,58,64,5.1
M_0452,HR,3255,193,86,5.03
M_0453,Legal,1278,41,27,5.74
M_0454,Engineering,1689,42,49,5.25
M_0455,Marketing,1632,68,60,4.96
M_0456,Engineering,3472,188,78,4.68
M_0457,Marketing,3348,157,65,5.48
M_0458,Engineering,2938,93,63,4.32
M_0459,Engineering,3464,147,79,6.02
M_0460,Engineering,1708,82,20,3.92
M_0461,Operations,2813,138,70,5.13
M_0462,Customer Support,2387,111,59,5.25
M_0463,Finance,3262,178,90,5.54
M_0464,IT,2396,131,50,4.76
M_0465,HR,2153,92,61,5.67
M_0466,Sales,2986,111,108,4.95
M_0467,Product Management,3288,150,127,5.05
M_0468,Sales,1898,100,52,6.64
M_0469,IT,2445,49,27,5.46
M_0470,Engineering,1547,92,60,4.67
M_0471,IT,251,6,7,5.92
M_0472,Engineering,2680,104,53,5.26
M_0473,Legal,3048,167,43,5.4
M_0474,Marketing,2735,79,39,6.69
M_0475,Data Science,745,29,11,6.14
M_0476,Engineering,2184,55,24,6.04
M_0477,Finance,503,18,18,5.15
M_0478,IT,3732,101,97,5.65
M_0479,Marketing,1522,52,47,5.46
M_0480,Operations,3629,126,126,4.03
M_0481,Operations,3351,200,113,5.5
M_0482,Marketing,1689,100,61,5.71
M_0483,Operations,1480,36,57,5.33
M_0484,Finance,2815,138,65,5.16
M_0485,Legal,1740,38,67,3.8
M_0486,Engineering,2592,54,82,5.42
M_0487,Sales,2065,50,25,4.68
M_0488,IT,896,52,27,6.45
M_0489,Legal,492,28,15,4.57
M_0490,Marketing,2704,75,100,5.36
M_0491,Operations,1994,52,42,5.5
M_0492,Sales,2002,59,55,6.32
M_0493,Engineering,3126,126,32,4.17
M_0494,Marketing,3556,152,70,6.18
M_0495,HR,2254,65,26,5.42
M_0496,Finance,2193,110,56,4.74
M_0497,Engineering,2950,95,101,4.38
M_0498,IT,1278,72,20,5.14
M_0499,Data Science,2700,124,69,4.16
M_0500,Operations,2996,112,48,6.59
M_0501,Finance,3112,160,42,6.57
M_0502,Sales,756,39,19,6.47
M_0503,Customer Support,1814,57,22,4.61
M_0504,Operations,1709,57,47,4.9
M_0505,Engineering,2589,148,28,6.07
M_0506,R&D,2932,77,38,6.54
M_0507,Customer Support,3847,83,101,4.14
M_0508,R&D,2054,78,56,4.21
M_0509,Customer Support,2052,106,22,6.12
M_0510,Operations,3534,179,96,3.81
M_0511,HR,2766,157,97,4.41
M_0512,R&D,3640,150,115,4.9
M_0513,Product Management,2759,66,38,3.85
M_0514,Engineering,1458,63,40,6.05
M_0515,Engineering,1300,66,39,5.89
M_0516,HR,1103,26,12,4.67
M_0517,Customer Support,3095,83,110,5.46
M_0518,Data Science,3569,73,132,5.99
M_0519,Engineering,4164,182,147,4.99
M_0520,Finance,3258,180,113,4.85
M_0521,HR,3546,166,114,6.95
M_0522,IT,1977,117,57,5.88
M_0523,Product Management,1459,32,44,5.12
M_0524,Product Management,3265,183,111,6.31
M_0525,Marketing,2875,151,85,5.74
M_0526,HR,2596,84,51,4.72
M_0527,Sales,2848,167,60,6.26
M_0528,Engineering,2790,87,102,5.78
M_0529,Product Management,3655,203,38,3.86
M_0530,Customer Support,3665,202,113,4.61
M_0531,Data Science,2989,150,115,6.22
M_0532,Data Science,3261,138,101,4.7
M_0533,Finance,2962,73,117,6.09
M_0534,Customer Support,2084,86,63,5.74
M_0535,R&D,3180,108,35,5.18
M_0536,Product Management,1244,64,43,4.71
M_0537,Sales,3448,173,63,5.85
M_0538,Marketing,1424,80,33,7.83
M_0539,Engineering,2757,56,53,6.51
M_0540,IT,1739,91,31,5.45
M_0541,Finance,2998,172,68,4.86
M_0542,Sales,2469,127,52,6.21
M_0543,Operations,1064,26,30,5.16
M_0544,Operations,2878,66,98,3.89
M_0545,HR,1979,41,37,5.08
M_0546,Engineering,3293,148,54,6.34
M_0547,Operations,2501,113,75,3.71
M_0548,Marketing,2855,169,85,6.25
M_0549,Customer Support,1638,58,60,5.6
M_0550,Marketing,1969,65,20,5.02
M_0551,Product Management,2087,93,74,6.45
M_0552,Finance,3271,173,83,4.72
M_0553,Finance,4009,230,114,5.64
M_0554,Product Management,1775,92,22,5.15
M_0555,HR,3469,128,79,4.9
M_0556,Engineering,547,24,9,4.78
M_0557,Engineering,1425,77,25,5.92
M_0558,Customer Support,1637,64,41,5.35
M_0559,Operations,1282,36,44,4.89
M_0560,Operations,1074,28,34,3.86
M_0561,Sales,2871,57,79,6.03
M_0562,Engineering,2307,112,60,5.56
M_0563,Engineering,2841,69,64,4.84
M_0564,HR,3121,92,122,6.4
M_0565,Finance,2739,87,73,3.8
M_0566,HR,3091,131,54,3.48
M_0567,Marketing,2437,87,41,4.83
M_0568,Legal,1431,67,40,5.18
M_0569,Sales,3452,76,88,4.74
M_0570,Marketing,1969,49,20,4.58
M_0571,Customer Support,1657,66,57,5.35
M_0572,HR,2339,78,72,5.4
M_0573,Operations,1678,53,50,5.32
M_0574,Product Management,2124,48,25,5.73
M_0575,R&D,2809,156,58,5.01
M_0576,Engineering,2813,134,107,4.79
M_0577,R&D,1691,42,60,5.54
M_0578,Marketing,2061,46,38,4.16
M_0579,Sales,3466,204,50,4.29
M_0580,Marketing,2946,139,69,5.14
M_0581,Data Science,4367,160,90,5.9
M_0582,Marketing,3562,171,108,5.65
M_0583,Sales,3529,177,137,6.67
M_0584,Operations,1250,63,26,3.68
M_0585,Sales,3187,124,37,6.35
M_0586,Engineering,2452,91,90,5.53
M_0587,Engineering,2004,40,22,4.01
M_0588,Engineering,2651,151,102,5.87
M_0589,Engineering,3350,147,100,5.05
M_0590,Engineering,2950,82,112,7.36
M_0591,Operations,1709,97,27,3.67
M_0592,Engineering,3168,179,35,6.55
M_0593,Sales,1926,114,47,5.79
M_0594,Legal,2695,148,63,3.62
M_0595,Marketing,2226,133,44,5.23
M_0596,Operations,2303,68,89,5.13
M_0597,Engineering,3189,171,110,6.02
M_0598,Engineering,1563,82,46,6.61
M_0599,Engineering,4250,124,63,6.28
M_0600,Engineering,861,20,27,4.15
M_0601,Sales,1962,116,62,7.11
M_0602,Engineering,2833,90,64,5.4
M_0603,Engineering,3025,165,114,4.64
M_0604,Engineering,2409,48,36,4.88
M_0605,Marketing,2448,51,44,4.68
M_0606,Sales,2869,110,34,6.09
M_0607,HR,2292,67,77,4.37
M_0608,Marketing,3753,178,107,4.59
M_0609,Operations,3255,138,63,5.61
M_0610,Engineering,3285,75,48,5.59
M_0611,Customer Support,1630,43,18,4.6
M_0612,Operations,2428,86,36,6.3
M_0613,Engineering,2229,61,52,4.83
M_0614,Product Management,1594,82,27,5.1
M_0615,R&D,2824,103,50,5.72
M_0616,Engineering,2016,47,73,4.77
M_0617,Sales,3089,121,78,5.99
M_0618,Customer Support,1536,36,48,2.67
M_0619,Customer Support,4047,101,44,4.74
M_0620,Engineering,1693,50,35,3.63
M_0621,Sales,2697,146,65,4.97
M_0622,HR,3212,183,50,4.35
M_0623,Marketing,1986,105,27,4.79
M_0624,Operations,3267,108,117,4.53
M_0625,HR,1393,43,53,4.54
M_0626,Marketing,3806,159,47,6.12
M_0627,Customer Support,2512,122,51,5.02
M_0628,Engineering,1963,117,76,3.69
M_0629,Sales,2230,56,27,5.98
M_0630,Customer Support,3228,70,94,4.77
M_0631,Legal,1973,94,77,4.34
M_0632,Marketing,1825,97,71,5.35
M_0633,Finance,2300,123,55,5.45
M_0634,Engineering,1440,67,21,5.93
M_0635,Marketing,4138,240,66,4.37
M_0636,Finance,1990,80,73,4.84
M_0637,Sales,3248,183,121,7.36
M_0638,Sales,2688,157,75,7.4
M_0639,HR,1613,86,53,5.89
M_0640,Engineering,2494,80,80,5.43
M_0641,Sales,3205,89,95,7.25
M_0642,Sales,2330,97,81,7.59
M_0643,Sales,3573,136,109,5.72
M_0644,Engineering,3419,188,88,4.52
M_0645,Legal,3327,79,56,4.37
M_0646,Finance,2086,63,67,7.46
M_0647,Operations,1528,76,36,4.01
M_0648,Customer Support,1947,46,36,4.3
M_0649,Marketing,2676,87,91,4.05
M_0650,Engineering,2991,106,92,5.15
M_0651,Finance,545,24,20,4.11
M_0652,Finance,2492,65,37,5.03
M_0653,Customer Support,2642,143,77,3.39
M_0654,Marketing,2250,85,38,5.99
M_0655,Engineering,3662,207,135,6.17
M_0656,Sales,2879,111,37,5.69
M_0657,HR,3679,114,109,4.91
M_0658,Operations,2305,59,77,4.79
M_0659,Finance,3343,67,69,5.14
M_0660,HR,3971,163,153,4.99
M_0661,Data Science,3680,89,130,5.5
M_0662,Finance,1517,54,28,6.16
M_0663,Sales,2271,98,23,5.38
M_0664,Engineering,2189,67,41,4.87
M_0665,Engineering,2940,79,54,5.81
M_0666,Sales,3117,158,114,4.6
M_0667,Engineering,1744,100,68,3.61
M_0668,Engineering,2561,61,31,5.3
M_0669,Sales,682,17,16,6.22
M_0670,Engineering,3797,221,100,4.74
M_0671,Legal,2038,43,26,4.16
M_0672,Engineering,2550,150,54,4.77
M_0673,Marketing,2221,44,43,4.53
M_0674,HR,3531,194,92,5.84
M_0675,Data Science,150,4,4,4.06
M_0676,Engineering,2485,142,77,5.05
M_0677,HR,2404,78,33,4.46
M_0678,IT,2091,96,71,3.96
M_0679,Product Management,4053,94,123,5.62
M_0680,Customer Support,1701,50,62,4.15
M_0681,Sales,3194,162,74,6.24
